question,answer
" ""Which American once described Margaret Thatcher as """"the best man in England""""?""
",Ronald reagan
" Which car manufacturer produced the models, Laurel, Maxima and Scarab?
",Datsun
" The word buccal refers to which part of the body?
",Cheek
" Daniel Deronda was the last novel written by which English novelist?
",George eliot
" In the game of Bingo, ‘Little Boy Blue’ is the nickname for which number?
",Two
" What is the fourth book of the old testament?
",Numbers
" Newcastle United striker Demba Ba plays international football for which country?
",Senegal
" Which rank in the Royal Navy is the equivalent of an army brigadier?
",Commodore
" In which television programme did the character 'Detective Saperstein' appear?
",kojak'
" Who was Britain's last Prime Minister of the 20th century?
",Tony Blair
" Something described as 'tactile' relates to which of the five senses?
",Touch
" What type of creature is an argali?
",Sheep
" What do sumo wrestlers throw in the ring before they engage in combat?
",Salt
" ""Algernon Blackwood's 1907 story, called by H. P. Lovecraft as the """"finest supernatural tale in English literature"""" is titled after what type of trees? (hint: cricket)""
",Willows
" Which British aircraft company produced the 'Tiger Moth', 'Mosquito' and 'Comet'?
",De havilland
" The road from Paris to Montpellier passes over the highest bridge in the world, completed in 2004. Which river valley does it span ?
",Tarn
" Which French phrase translates as ‘blow of mercy’?
",Coup de Grace
" More than 99% of the mass of our solar system is contained within what?
",The Sun
" ""What TV show had an episode entitled """"The Trouble with Tribbles""""?""
",Star Trek
" What is the most popular spectator sport in India?
",Cricket
" Which UK national newspaper was awarded a share in a Pulitzer Prize in 2014?
",The Guardian
" Who organised the original 1985 Live Aid concert with Bob Geldof?
",Midge Ure
" Who won the 2008 F A Cup?
",Portsmouth
" What is the most often earned Boy Scout merit badge
",First Aid
" Which skier spectacularly summersaulted through 2 barriers, landing on his head, in the downhill race at the winter Olympics in Nagano. Then went on to win 2 gold medals a few days later?
",Hermann Maier
" What was founded by Allen Lane in 1935?
",Penguin Books
" Which Scottish ballerina made her international debut in 1941, married Ludovic Kennedy in 1950, appeared in films from 1948 to 1960, and died in 2006?
",Moira Shearer
" The first untethered space walk took place from which space craft?
",Challenger
" Where do Walloons come from?
",Belgium
" Hezbollah is a political/terrorist organization in which country?
",Lebanon
" Who discovered the Grand Canyon?
",Francisco Coronado
" What occupation is shared by Beverley Copella and Trevor Sorbie?
",Hairdressing
" Which architect designed the Monument to the Great Fire of London on Pudding Lane in London?
",Christopher wren
" Olof Palme was assassinated in 1986 when he was Prime Minister of which country?
",Sweden
" A burning truckload of 'brunost' - brown (what?) - caused a 5-day fire in a Norwegian road tunnel in Jan 2013?
",Cheese
" Where did King Charles II hide himself after the Battle of Worcester in 1651?
",In an oak tree
" Which Birmingham-based pop group had the first record played on BBC Radio One (`Flowers in the Rain') and evolved into the Electric Light Orchestra?
",The move
" June 8, 1955 saw the birth of Sir Timothy Berners-Lee, British engineer and computer scientist best known for inventing what modern convenience that nobody could get by without anymore?
",World Wide Web
" Who was the first woman to ride in the Grand National?
",Charlotte Brew
" Where is the 'king George VI' horse race held?
",Kempton park
" Which English football league team plays home matches at Edgeley Park?
",Stockport County FC
" Which boys name is also the name of a sports shoe company best remembered for sponsoring Kevin Keegan in the 1980s?
",Patrick
" Which state did John F Kennedy represent when a senator?
",Massachusetts
" ""What actor was the voice of Woody in """"Toy Story""""?""
",Tom Hanks
" General Benedict Arnold switched allegiance to the British side during which war?
",American War of Independence
" Which composer attempted suicide by throwing himself into the river Rhine?
",Schuman
" Hinnomaki Red, Invicta, Pax and Hairy Amber are types of which Ribes genus fruit?
",Gooseberry
" The first episode of which sitcom sequel was broadcast on BBC2 on January 9th 1986 (NB This answer contains the connection)?
","Yes, prime minister"
" An Eskimo roll is a maneuver to right what type of craft?
",Kayak
" What is the name of the home ground of Queen of the South Football Club in Dumfries, Scotland?
",Palmerston Park
" In which war did the Battle of Blenheim take place?
",Spanish Succession
" Nancy Sinatra duetted with which singer on the songs ‘Jackson’, ‘Lady Bird’, 'Summer Wine’ and ‘Did You Ever’?
",Lee Hazlewood
" Which group had a hit in the 1970's with 'Love Grows Like My Rosemary Grows'?
",Edison lighthouse
" Which sign of the Zodiac is represented by the ram?
",Aries
" What term used by California wineries denotes red and white Bordeaux-style wines and is intended to not infringe on the 'heritage' of Bordeaux's legally protected designation of origin?
",Meritage
" A spoken error, considered perhaps more truthful than the intended word(s), is called a '(What?) slip'?
",Freudian
" In Roman legend, which animals are said to have saved Rome from a surprise attack by raising an alarm?
",Geese
" The name of which European capital city is derived from the names of two towns on either bank of its main river?
",Budapest
" Hilary Mantel won the 2009 Man Booker Prize with which novel?
",Wolf hall
" What is the former name of the Democratic Republic of the Congo?
",Zaire
" ""Whose fitness videos are called """"Sweatin' to the Oldies""""?""
",Richard Simmons
" Who was the Greek Goddess of punishment and retribution?
",Nemesis
" What is the maximum number of clubs that a golfer can carry in their bag?
",Fourteen
" On a suit of armour, the poleyn would protect which part of the body?
",Knee
" In the ‘Harry Potter’ series of books what is the American version of the game of Quidditch?
",Quodpot
" What was the surly debut single from Magic
",Rude
" The 14th of July marks what major holiday for the French?
",Bastille Day
" Which Liverpool company began to produce Dinky Toys in 1931 to accompany their Hornby train sets?
",Meccano
" Geel is Dutch for which colour?
",Yellow
" What is the two-word title of the 2002 Paul Greengrass directed film set in Derry in 1972
",Bloody Sunday
" Who gave birth to Heavenly Hiraani Tiger Lily in 1996?
",Paula yates
" John Dryden became the first official British what during the reign of King Charles ll?
",Poet Laureate
" Who succeeded Richard Nixon as President of the USA in 1974?
",Gerald Ford
" In humans, madarosis is the loss of what?
",Eyelashes
" The World Men's Team Championship, the Thomas Cup, is a competition in which sport?
",Badminton
" How many Victoria Crosses were won at Rorke's Drift in 1879?
",Eleven
" In the Sherlock Holmes stories, what is Doctor Watson's first name ?
",John
" Which British TV soap opera ran from 2 November 1964 to 4 April 1988 with minor changes of name, was revived on 5 March 2001, went into hiatus from August 2002 to January 2003, with the final episode broadcast on 30 May 2003?
",Crossroads
" Hydref is Welsh for which month of the year?
",October
" Which American President was the teddy bear named after?
",Theodore Roosevelt
" Who was the female singer in Jefferson Airplane
",Grace Slick
" What is the name of the organic food company founded by Prince Charles?
",Duchy Originals
" Name the only bachelor President of the U.S.A.
",James buchanan
" Which creature's name is also the term given to three strikes in a row in a game of ten-pin bowling?
",Turkey
" Which is the highest number used in a Sudoku puzzle?
",Nine
" In Japanese what word means they who serve?
",Samurai
" Who is the most successful non US golfer in Major Championships with 9 wins?
",Gary player
" Which British Prime Minister declared ‘Peace in our time’ in September 1938?
",Neville Chamberlain
" """"""Catriona""""is a sequel to which novel?""
",Kidnapped
" ""Who played the title role in the 1997 film """"The Jackal"""" a remake of """"The Day of the Jackal?""
",Bruce Willis
" What structures were built along the south coast of England during the Napoleonic wars to protect England from invasion by the French?
",Martello towers
" Which eagle is the largest bird of prey native to England?
",The white-tailed
" ""Which town is """"celebrated"""" in the song """"Dirty Old Town""""?""
",Salford
" Which American animator created Daffy Duck and Droopy Dog?
",Tex Avery
" How many stones did David take for his fight with Goliath? One, Five or Fifteen?
",Five
" What type of creature is a mouthbrooder?
",Fish
" Who wrote the Goldberg variations?
",Johann Sebastian Bach
" Name the author of the novel 'The Van', shortlisted for the 1991 Booker Prize.
",Roddy Doyle
" Which palatial villa, located just over a mile west of Chichester, is believed to have been the residence of king Cogidubnus, a 1st century ally of the Romans?
",Fishbourne
